pred,label,rouge1,rouge2,rougeL
"daisies and poppies are still life vase with van gogh yang membuatnya meninggal
","sebuah mahakarya vincent van gogh, yang dilukis pada akhir kehidupannya, terjual di new york sebesar us$61,8 juta atau rp752 miliar.
",0.1714285714285714,0.12121212121212123,0.1714285714285714
"kata dia, pemerintah turki memindahkan orang yang kembali ke suriah ke istanbul setelah mereka kembali ke tempat itu
","ribuan pengungsi suriah punya waktu hingga selasa (20/08) untuk meninggalkan istanbul atau mereka akan dipindahkan dengan paksa dari kota terbesar di turki itu.
",0.2380952380952381,0.0,0.1904761904761905
"chapecoense david dari klub itu bermain di dunia sepak bola brasil selatan dan mereka yang tengah berkumpul di stadion arena amerika tengah bermain bola.
","ribuan orang berkumpul di kota chapeco, brasil, untuk mengenang korban jatuhnya pesawat, yang sebagian besar adalah anggota tim sepak bola kota tersebut, chapecoense.
",0.2978723404255319,0.08888888888888888,0.1702127659574468
"klaim tersebut diserang oleh klaim tersebut
","kelompok militan kurdi tak mengatakan pihaknya melancarkan serangan mematikan di ibu kota turki, ankara, pada minggu (13/03).
",0.0,0.0,0.0
"dokter-dokter india yang melaporkan serangan ke kota dan rumah sakit diduga menghentikan penyebaran virus corona bekerja menghentikan penyebaran virus corona.
","sejumlah tenaga kesehatan di india dilaporkan mengalami serangan dari anggota masyarakat selagi berupaya menghentikan penyebaran virus corona.
",0.31578947368421056,0.16666666666666663,0.31578947368421056
"buku vãtsyãyana yang bisa dibuat abad ada dan satu malam manis, cerita cinta romantis, cerita seks, kata orang-orang prancis dan kama sutra yang menulis cerita seks wanita arab, kata arab, sangat mungkin orang-orang tidak tahu gambarnya.
","jika kita berbicara tentang hawa nafsu, sering ada kecenderungan untuk menghubungkannya dengan roman shades of grey , gadis kecil bernama lolita, atau mungkin lady chatterly, dan burung-burung kecil yang terbang ke segala arah.
",0.10958904109589042,0.0,0.08219178082191782
"ia memiliki saham di badan tahun lalu di jalan tata, inggris, ia memiliki hotel taj palace yang mahal
","kelompok usaha india, tata, yang memproduksi teh tetley dan mobil jaguar land rover, bangga dengan usaha yang dikelola atas dasar kedermawanan.
",0.10256410256410256,0.0,0.10256410256410256
"ribuan orang di rekor dunia yang terlibat dalam penarikan irlandia
","para penari irlandia mencatatkan rekor dunia di dublin, dalam melakukan tarian riverdance terpanjang.
",0.4347826086956522,0.09523809523809525,0.2608695652173913
"murahnya pelampung, jaket, beli pengungsi
","pihak berwenang turki menyita lebih dari 1.000 jaket pelampung palsu yang dibuat untuk para pengungsi yang ingin menyeberang laut aegea menuju yunani.
",0.21428571428571427,0.0,0.14285714285714285
"klub-klub liga primer inggris punya kata yang bisa menyiasati padatnya kompetisi sepak bola di inggris
","manajer arsenal, arsene wenger, menepis pernyataan bos liverpool, jurgen klopp, yang mengatakan bahwa jadwal kompetisi sepak bola di inggris sangat padat.
",0.3243243243243243,0.2285714285714286,0.3243243243243243
"tahun bendera diciptakan gilbert baker -of muncul hari kaum lgbt dan lgbt bebas gay pride
","bendera pelangi telah menjadi lambang gerakan hak-hak lgbt di seluruh dunia.
",0.14814814814814814,0.0,0.14814814814814814
"dukungan dari dki jakarta yang bebas memilih jalur alias bebas dan berhasil mengumpulkan lebih dari satu juta ktp kelompok teman ahok yang berpolitik.
","kelompok teman ahok mengatakan tidak mempermasalahkan ahok akan maju sebagai calon perseorangan atau melalui partai politik, meski telah mengumpukan lebih dari satu juta ktp.
",0.3404255319148936,0.2666666666666666,0.2127659574468085
"penampilannya dihargai oleh pemain inggris itu
","boneka, lego dan aneka perangkat teknologi diprediksi menjadi mainan yang paling diinginkan anak-anak inggris pada natal tahun ini.
",0.08,0.0,0.08
"musim ini, vardy leicester juara liga primer inggris menjadi juara united united, kata louis gaal, arsene wenger sudah mengabaikan permainannya.
","manajer manchester united, louis van gaal, memperhitungkan leicester city -yang akan berhadapan dengan timnya akhir pekan ini- sebagai penantang serius untuk gelar juara liga primer inggris.
",0.3913043478260869,0.13636363636363635,0.2173913043478261
"pemulihan ekonomi cina secara global berlangsung -of christine imf, bank dunia dan eropa menegaskan christine lagarde.
","kepala dana moneter internasional, imf, memperingatkan krisis ekonomi global sudah mulai memukul pertumbuhan di negara-negara perekonomian baru.
",0.17647058823529413,0.0,0.11764705882352941
"silence of the look of assassin dan the assassin dari film cannes dan sutradara hsiaohsien fury dari festival film hsiaohsien
","film dokumenter yang menceritakan keluarga korban pembantaian pki tahun 1965 di indonesia, senyap atau the look of silence karya joshua oppenheimer masuk dalam salah satu film terbaik hasil jajak kritikus inggris.
",0.23529411764705882,0.0816326530612245,0.1568627450980392
"di korea selatan dan korea utara, kim jongun akan memimpin sejarah kedua
","para pemimpin korea utara dan korea selatan mencapai kesepakatan untuk bekerja sama membebaskan semenanjung korea dari senjata nuklir.
",0.33333333333333337,0.21428571428571427,0.2
"sistem pensiun dan pensiun pns sektor swasta, kata sri wening handayani, hanya di asia, indonesia menyebut buku yang disusun adb disebut tua tidak punya tantangan besar
","banyak pekerja di indonesia menghadapi masa tua yang tidak jelas karena hanya sekitar 10% yang memiliki pensiun, menurut buku yang disusun bank pembangunan asia (adb).
",0.4313725490196078,0.08163265306122448,0.23529411764705882
"kata dia, gerakan christians4ramadan sedang berpuasa
","sejumlah pengguna media sosial berpartisipasi dalam gerakan #christians4ramadan, sebagai bentuk solidaritas umat kristiani untuk warga muslim di bulan puasa.
",0.16,0.08695652173913045,0.16
"tri ayu dan elizabeth zahra yang meraih medali emas di malaysia tengah meraih peralatan penyaringan sungai menggunakan sampah
","tiga siswi sekolah menengah atas di yogyakarta tengah mengembangkan alat untuk menyaring sampah di sungai, temuan yang membuahkan medali emas pada lomba inventor muda.
",0.3333333333333333,0.049999999999999996,0.14285714285714288
"obama mengatakan, menterinya tidak melakukan intervensi terhadap serangan militer terhadap pemerintah suriah yang menggunakan senjata kimia pbb dan mempengaruhi konflik
","presiden as barack obama mengatakan as telah menyimpulkan bahwa pemerintah suriah melakukan serangan senjata kimia di dekat damaskus.
",0.4210526315789474,0.16666666666666669,0.3157894736842105
"abk retno halim perdanakusuma tiba dengan 10 wni
","menteri luar negeri indonesia retno marsudi mengatakan 10 anak buah kapal (abk) yang sebelumnya disandera oleh kelompok pemberontak filipina, abu sayyaf, akan langsung menjalani pemeriksaan kesehatan di jakarta.
",0.16666666666666666,0.0,0.11111111111111112
"tak membuka kekhawatiran akan hancur, argento berkata pesta dan kami meminta ia pijat, lalu ia bertemu weinstein, aktris sutradara, di kamar prancis di hotel selatan judd berkata.
","sejak muncul tuduhan bahwa produser kenamaan hollywood, harvey weinstein, melakukan pelecehan atau serangan seksual, makin banyak aktris dan model yang buka suara.
",0.12244897959183673,0.0,0.08163265306122448
"akhir perang dunia ii, kata presiden venezuela, adalah simbol kebebasan korea utara dari penduduk jepang dan perubahan zona waktu lebih lambat dari gmt
","korea utara akan menetapkan zona waktu baru yaitu 30 menit lebih cepat dari korea selatan dan jepang, demikian kata media pemerintah korut.
",0.4,0.09302325581395349,0.2666666666666666
"orang itu ada dan kota tacloban tewas oleh topan
","presiden filipina benigno aquino menyatakan negara dalam keadaan bencana nasional sebagai tanggapan atas kerusakan akibat topan haiyan.
",0.07692307692307691,0.0,0.07692307692307691
"dan salamander raksasa merupakan miliknya
","seorang kepala polisi di cina dipecat setelah sejumlah rekan kerjanya memukuli para wartawan yang menemukan mereka sedang makan salamader raksasa dalam sebuah acara makan-makan mewah.
",0.06451612903225806,0.0,0.06451612903225806
